
PLAYER	TEAM	DATE	MATCHUP	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-
Draymond Green	GSW	06/08/2018	GSW @ CLE	W	39	9	4	8	50.0	1	5	20.0	0	0	-	1	2	3	9	1	3	1	5	15
Ante Zizic	CLE	06/08/2018	CLE vs. GSW	L	2	4	2	2	100.0	0	0	-	0	0	-	1	0	1	0	0	0	0	0	4
LeBron James	CLE	06/08/2018	CLE vs. GSW	L	41	23	7	13	53.8	0	1	0.0	9	11	81.8	1	6	7	8	0	1	6	5	-21
Klay Thompson	GSW	06/08/2018	GSW @ CLE	W	28	10	4	10	40.0	2	5	40.0	0	0	-	0	6	6	0	0	0	2	3	19
JR Smith	CLE	06/08/2018	CLE vs. GSW	L	27	10	3	8	37.5	3	5	60.0	1	2	50.0	0	2	2	1	0	0	0	3	-18
Rodney Hood	CLE	06/08/2018	CLE vs. GSW	L	27	10	4	14	28.6	1	3	33.3	1	1	100.0	3	5	8	2	2	1	2	2	-1
JaVale McGee	GSW	06/08/2018	GSW @ CLE	W	16	6	3	4	75.0	0	0	-	0	0	-	1	2	3	0	0	1	0	1	21
Zaza Pachulia	GSW	06/08/2018	GSW @ CLE	W	3	2	0	1	0.0	0	0	-	2	2	100.0	0	1	1	0	0	0	1	0	-2
Patrick McCaw	GSW	06/08/2018	GSW @ CLE	W	3	0	0	0	-	0	0	-	0	0	-	1	0	1	0	0	0	0	0	-2
Shaun Livingston	GSW	06/08/2018	GSW @ CLE	W	14	2	0	1	0.0	0	0	-	2	2	100.0	0	4	4	0	0	0	0	2	2
George Hill	CLE	06/08/2018	CLE vs. GSW	L	25	3	1	7	14.3	1	4	25.0	0	2	0.0	1	2	3	1	0	0	1	3	-26
Stephen Curry	GSW	06/08/2018	GSW @ CLE	W	39	37	12	27	44.4	7	15	46.7	6	6	100.0	2	4	6	4	3	3	2	4	18
Andre Iguodala	GSW	06/08/2018	GSW @ CLE	W	23	11	4	8	50.0	3	6	50.0	0	0	-	1	1	2	0	2	2	0	3	11
Tristan Thompson	CLE	06/08/2018	CLE vs. GSW	L	16	6	3	5	60.0	0	0	-	0	0	-	2	2	4	0	0	1	0	0	-21
Jordan Bell	GSW	06/08/2018	GSW @ CLE	W	18	4	2	3	66.7	0	0	-	0	0	-	2	2	4	1	0	1	0	0	4
Jeff Green	CLE	06/08/2018	CLE vs. GSW	L	24	5	2	8	25.0	1	3	33.3	0	0	-	0	0	0	1	0	1	0	1	-9
Kevin Love	CLE	06/08/2018	CLE vs. GSW	L	28	13	4	13	30.8	2	5	40.0	3	4	75.0	3	6	9	2	1	0	1	2	-26
Kevin Durant	GSW	06/08/2018	GSW @ CLE	W	38	20	7	17	41.2	0	3	0.0	6	6	100.0	1	11	12	10	1	3	2	3	30
Larry Nance Jr.	CLE	06/08/2018	CLE vs. GSW	L	23	7	3	7	42.9	0	0	-	1	2	50.0	6	2	8	4	1	1	0	4	0
Cedi Osman	CLE	06/08/2018	CLE vs. GSW	L	4	2	1	3	33.3	0	0	-	0	0	-	0	0	0	0	0	0	0	0	2
David West	GSW	06/08/2018	GSW @ CLE	W	8	2	1	1	100.0	0	0	-	0	0	-	0	0	0	1	0	0	0	2	-6
Kyle Korver	CLE	06/08/2018	CLE vs. GSW	L	21	2	0	6	0.0	0	5	0.0	2	3	66.7	0	1	1	1	0	0	1	2	-1
Nick Young	GSW	06/08/2018	GSW @ CLE	W	9	3	1	4	25.0	1	4	25.0	0	0	-	0	1	1	0	0	0	0	1	7
Jose Calderon	CLE	06/08/2018	CLE vs. GSW	L	4	0	0	1	0.0	0	1	0.0	0	0	-	0	1	1	1	1	0	0	0	2
Kevon Looney	GSW	06/08/2018	GSW @ CLE	W	3	2	1	2	50.0	0	0	-	0	0	-	1	0	1	0	0	0	0	0	-2
Tristan Thompson	CLE	06/06/2018	CLE vs. GSW	L	34	8	4	8	50.0	0	0	-	0	1	0.0	1	6	7	0	0	1	0	2	-2
Shaun Livingston	GSW	06/06/2018	GSW @ CLE	W	17	8	4	5	80.0	0	0	-	0	0	-	0	0	0	2	0	0	0	3	3
JaVale McGee	GSW	06/06/2018	GSW @ CLE	W	14	10	5	7	71.4	0	0	-	0	0	-	2	1	3	0	0	2	1	1	3
Kevin Durant	GSW	06/06/2018	GSW @ CLE	W	43	43	15	23	65.2	6	9	66.7	7	7	100.0	1	12	13	7	1	1	3	3	15
Stephen Curry	GSW	06/06/2018	GSW @ CLE	W	39	11	3	16	18.8	1	10	10.0	4	4	100.0	0	5	5	6	1	0	2	3	0
Kyle Korver	CLE	06/06/2018	CLE vs. GSW	L	11	0	0	4	0.0	0	2	0.0	0	0	-	0	2	2	0	0	0	1	1	0
Jeff Green	CLE	06/06/2018	CLE vs. GSW	L	18	3	1	4	25.0	1	3	33.3	0	0	-	0	0	0	1	0	0	1	1	-7
Nick Young	GSW	06/06/2018	GSW @ CLE	W	5	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-5
Draymond Green	GSW	06/06/2018	GSW @ CLE	W	40	10	4	8	50.0	0	2	0.0	2	2	100.0	0	2	2	9	2	0	2	4	-2
Patrick McCaw	GSW	06/06/2018	GSW @ CLE	W	1	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	1
LeBron James	CLE	06/06/2018	CLE vs. GSW	L	47	33	13	28	46.4	1	6	16.7	6	7	85.7	3	7	10	11	2	2	4	2	-8
Kevin Love	CLE	06/06/2018	CLE vs. GSW	L	31	20	6	13	46.2	3	7	42.9	5	5	100.0	5	8	13	3	1	0	2	2	-1
George Hill	CLE	06/06/2018	CLE vs. GSW	L	27	5	2	6	33.3	1	2	50.0	0	0	-	1	1	2	4	0	0	4	3	-2
Klay Thompson	GSW	06/06/2018	GSW @ CLE	W	41	10	4	11	36.4	2	5	40.0	0	0	-	0	4	4	2	1	1	0	3	14
JR Smith	CLE	06/06/2018	CLE vs. GSW	L	33	13	5	14	35.7	3	10	30.0	0	0	-	1	3	4	0	3	0	0	4	-4
David West	GSW	06/06/2018	GSW @ CLE	W	5	0	0	2	0.0	0	0	-	0	0	-	1	1	2	0	0	0	1	0	-3
Larry Nance Jr.	CLE	06/06/2018	CLE vs. GSW	L	13	5	2	4	50.0	0	0	-	1	2	50.0	2	1	3	1	0	0	1	1	-4
Andre Iguodala	GSW	06/06/2018	GSW @ CLE	W	22	8	3	4	75.0	0	0	-	2	2	100.0	0	2	2	1	1	0	1	3	14
Jordan Bell	GSW	06/06/2018	GSW @ CLE	W	12	10	4	5	80.0	0	0	-	2	4	50.0	2	4	6	0	0	1	0	0	0
Kevon Looney	GSW	06/06/2018	GSW @ CLE	W	0	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	0
Rodney Hood	CLE	06/06/2018	CLE vs. GSW	L	26	15	7	11	63.6	0	1	0.0	1	2	50.0	2	4	6	0	0	1	0	2	-12
JaVale McGee	GSW	06/03/2018	GSW vs. CLE	W	18	12	6	6	100.0	0	0	-	0	1	0.0	1	1	2	0	0	1	0	4	0
Kevon Looney	GSW	06/03/2018	GSW vs. CLE	W	11	0	0	0	-	0	0	-	0	4	0.0	0	1	1	1	0	0	0	0	6
Patrick McCaw	GSW	06/03/2018	GSW vs. CLE	W	3	0	0	0	-	0	0	-	0	0	-	0	0	0	0	0	0	0	0	-2
JR Smith	CLE	06/03/2018	CLE @ GSW	L	31	5	2	9	22.2	1	4	25.0	0	1	0.0	0	1	1	2	2	0	1	0	-9
Kevin Durant	GSW	06/03/2018	GSW vs. CLE	W	38	26	10	14	71.4	2	3	66.7	4	4	100.0	0	9	9	7	0	2	3	3	24
Jose Calderon	CLE	06/03/2018	CLE @ GSW	L	3	4	2	3	66.7	0	0	-	0	0	-	1	1	2	1	0	0	0	0	2
Klay Thompson	GSW	06/03/2018	GSW vs. CLE	W	34	20	8	13	61.5	3	8	37.5	1	2	50.0	0	2	2	1	1	0	2	3	11
Draymond Green	GSW	06/03/2018	GSW vs. CLE	W	39	5	2	4	50.0	0	2	0.0	1	2	50.0	2	6	8	7	0	1	0	5	19
LeBron James	CLE	06/03/2018	CLE @ GSW	L	44	29	10	20	50.0	2	4	50.0	7	9	77.8	1	8	9	13	2	0	5	2	-18
Jordan Bell	GSW	06/03/2018	GSW vs. CLE	W	11	5	2	3	66.7	0	0	-	1	2	50.0	0	1	1	1	1	0	0	3	4
Jordan Clarkson	CLE	06/03/2018	CLE @ GSW	L	8	2	1	4	25.0	0	0	-	0	0	-	0	1	1	1	1	0	1	1	-4
Kyle Korver	CLE	06/03/2018	CLE @ GSW	L	17	1	0	3	0.0	0	1	0.0	1	1	100.0	2	0	2	1	0	1	0	2	-18
Cedi Osman	CLE	06/03/2018	CLE @ GSW	L	4	2	1	2	50.0	0	1	0.0	0	0	-	0	1	1	0	0	0	0	0	-1
Jeff Green	CLE	06/03/2018	CLE @ GSW	L	20	6	2	7	28.6	0	2	0.0	2	2	100.0	0	2	2	1	0	0	0	0	-11
Kevin Love	CLE	06/03/2018	CLE @ GSW	L	35	22	7	18	38.9	3	8	37.5	5	5	100.0	4	6	10	1	2	1	1	1	-12
Quinn Cook	GSW	06/03/2018	GSW vs. CLE	W	3	2	1	3	33.3	0	1	0.0	0	0	-	0	0	0	0	0	0	0	0	-2
Zaza Pachulia	GSW	06/03/2018	GSW vs. CLE	W	3	6	1	2	50.0	0	0	-	4	4	100.0	1	1	2	0	0	1	0	0	-2
Shaun Livingston	GSW	06/03/2018	GSW vs. CLE	W	15	10	5	5	100.0	0	0	-	0	0	-	1	4	5	1	0	0	1	1	8
Larry Nance Jr.	CLE	06/03/2018	CLE @ GSW	L	12	2	0	1	0.0	0	0	-	2	4	50.0	3	3	6	1	0	1	1	0	-13
Tristan Thompson	CLE	06/03/2018	CLE @ GSW	L	23	11	5	8	62.5	0	0	-	1	2	50.0	3	2	5	0	0	0	0	2	-1
George Hill	CLE	06/03/2018	CLE @ GSW	L	34	15	5	12	41.7	3	6	50.0	2	2	100.0	2	0	2	3	2	1	1	5	-11
